n_components,C,avg_loss,avg_accuracy,avg_precision,avg_recall,avg_f1
50,0.1,2.339357340656153,0.6031335376839043,0.8002138708088999,0.6031335376839043,0.6457118484532524
50,1.0,1.7707734661095145,0.7027173658744481,0.7632242736856764,0.7027173658744481,0.7159049410516823
50,10.0,1.3488408478294516,0.7647835319467895,0.776228993679341,0.7647835319467895,0.7670137425480142
50,100.0,1.09027863313152,0.7941953509996738,0.7980698244768856,0.7941953509996738,0.7949082462365709
100,0.1,2.060024432765945,0.6340895198556333,0.8158411153408618,0.6340895198556333,0.6744432999956969
100,1.0,1.4926548555034311,0.738768144557415,0.7971606557674141,0.738768144557415,0.7529358177022143
100,10.0,1.092468887386738,0.8050800737331036,0.8131222337258711,0.8050800737331036,0.8067068710657633
100,100.0,0.8868314185534402,0.8271581610832864,0.8297035950028192,0.8271581610832864,0.8274761515383163
150,0.1,2.004684845708619,0.639338935340479,0.8176753438649556,0.639338935340479,0.6790754017192849
150,1.0,1.3827120934942672,0.7567547599427182,0.8066437096163916,0.7567547599427182,0.7685330970899193
150,10.0,0.9842808140067527,0.8240701626807378,0.8313469020861959,0.8240701626807378,0.8255489329851884
150,100.0,0.8057267988921464,0.8435235422884979,0.8450560250236198,0.8435235422884979,0.8436312548775284
